POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
LOCKE SCHOOL,4550 HAVERFORD AVE,F,L,19139,39.962976,-75.21376,0.75,nearest_rooftop_match,4601,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
MT OLIVET VILLAGE (PHA),642 N 41ST ST,F,L,19104,39.963649,-75.205868,1,range_interpolation,642,N 41st St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
LUCIEN BLACKWELL COMMUNITY CTR (PHA),761 N 47TH ST,F,H,19139,39.965863,-75.214845,0.99,rooftop,761-65,N 47th St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
MT OLIVET VILLAGE (PHA),642 N 41ST ST,F,L,19104,39.963649,-75.205868,1,range_interpolation,642,N 41st St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
MARTHA WASHINGTON SCHOOL,4400 ASPEN ST,M,L,19104,39.965784,-75.210954,1,range_interpolation,4400,Aspen St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
SARAH ALLEN SENIOR HOUSING,4035 PARRISH ST,F,H,19104,39.968696,-75.204923,1,rooftop,4035,Parrish St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
PHILA LEARNING ACADEMY SOUTH,4300 WESTMINSTER AVE,M,L,19104,39.969954,-75.210138,1,range_interpolation,4300,Westminster Ave,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
SARAH ALLEN SENIOR HOUSING,4035 PARRISH ST,F,H,19104,39.968696,-75.204923,1,rooftop,4035,Parrish St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
MARTHA WASHINGTON SCHOOL,4400 ASPEN ST,M,L,19104,39.965784,-75.210954,1,range_interpolation,4400,Aspen St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
PHILA LEARNING ACADEMY SOUTH,4300 WESTMINSTER AVE,M,L,19104,39.969954,-75.210138,1,range_interpolation,4300,Westminster Ave,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
1ST AFRICAN PRESBYTERIAN CHURCH,4159 W GIRARD AVE,M,L,19104,39.973947,-75.209674,1,rooftop,4159,W Girard Ave,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
SCHOOL OF THE FUTURE,4021 PARKSIDE AVE,F,N,19104,39.97431,-75.204489,0.9,range_interpolation,4021,Parkside Ave,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
LUCIEN BLACKWELL COMMUNITY CTR (PHA),761 N 47TH ST,F,H,19139,39.965863,-75.214845,0.99,rooftop,761-65,N 47th St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
DISCOVERY CHARTER SCHOOL,4700 PARKSIDE AVE,F,H,19131,39.976971,-75.213988,0.99,rooftop,4700-22,Parkside Ave,,,Philadelphia,PA,Philadelphia County,19131,US,Philadelphia
STEPHEN SMITH TOWERS,1030 BELMONT AVE,M,H,19104,39.97243,-75.212536,0.99,rooftop,1030-42,Belmont Ave,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
CASA INDIANA,2935 N 02ND ST,F,L,19133,39.995536,-75.133686,0.99,rooftop,2935-65,N 2nd St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
CASA INDIANA,2935 N 02ND ST,F,L,19133,39.995536,-75.133686,0.99,rooftop,2935-65,N 2nd St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
CASA INDIANA,2935 N 02ND ST,F,L,19133,39.995536,-75.133686,0.99,rooftop,2935-65,N 2nd St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
SALVATION ARMY- TABERNACLE,3150 N MASCHER ST,F,N,19133,39.998023,-75.131453,1,range_interpolation,3150,N Mascher St,,,Philadelphia,PA,Philadelphia County,19133,US,TIGER/Line® dataset from the US Census Bureau
SALVATION ARMY- TABERNACLE,3150 N MASCHER ST,F,N,19133,39.998023,-75.131453,1,range_interpolation,3150,N Mascher St,,,Philadelphia,PA,Philadelphia County,19133,US,TIGER/Line® dataset from the US Census Bureau
CRAMP SCHOOL,3449 N MASCHER ST,A,N,19140,40.002609,-75.130335,1,range_interpolation,3449,N Mascher St,,,Philadelphia,PA,Philadelphia County,19140,US,TIGER/Line® dataset from the US Census Bureau
ROBERTO CLEMENTE SCHOOL,122 W ERIE AVE,B,L,19140,40.006249,-75.129564,0.99,rooftop,122-50,W Erie Ave,,,Philadelphia,PA,Philadelphia County,19140,US,Philadelphia
NUEVA ESPERANZA BUILDING,4261 N 05TH ST,F,N,19140,40.016281,-75.134781,1,range_interpolation,4261,N 5th St,,,Philadelphia,PA,Philadelphia County,19140,US,TIGER/Line® dataset from the US Census Bureau
NUEVA ESPERANZA BUILDING,4261 N 05TH ST,F,N,19140,40.016281,-75.134781,1,range_interpolation,4261,N 5th St,,,Philadelphia,PA,Philadelphia County,19140,US,TIGER/Line® dataset from the US Census Bureau
McVEIGH RECREATION CENTER,400-64 E ONTARIO ST,F,N,19134,39.999973,-75.121741,1,rooftop,400-64,E Ontario St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
ASPIRA STETSON CHARTER SCHOOL,3200 B ST,R,N,19134,39.998192,-75.12538,1,range_interpolation,3200,B St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
CRAMP SCHOOL,3449 N MASCHER ST,A,N,19140,40.002609,-75.130335,1,range_interpolation,3449,N Mascher St,,,Philadelphia,PA,Philadelphia County,19140,US,TIGER/Line® dataset from the US Census Bureau
SOMERSET VILLAS,200 E SOMERSET ST,F,H,19134,39.991757,-75.127912,1,rooftop,200,E Somerset St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
STOREFRONT [3255 N FRONT ST],3255 N FRONT ST,M,N,19140,39.999776,-75.128625,1,rooftop,3255,N Front St,,,Philadelphia,PA,Philadelphia County,19140,US,Philadelphia
ASPIRA STETSON CHARTER SCHOOL,3200 B ST,R,N,19134,39.998192,-75.12538,1,range_interpolation,3200,B St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
McVEIGH RECREATION CENTER,400-64 E ONTARIO ST,F,N,19134,39.999973,-75.121741,1,rooftop,400-64,E Ontario St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
SOMERSET VILLAS,200 E SOMERSET ST,F,H,19134,39.991757,-75.127912,1,rooftop,200,E Somerset St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
ASPIRA STETSON CHARTER SCHOOL,3200 B ST,R,N,19134,39.998192,-75.12538,1,range_interpolation,3200,B St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
ASPIRA STETSON CHARTER SCHOOL,3200 B ST,R,N,19134,39.998192,-75.12538,1,range_interpolation,3200,B St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
ELKIN SCHOOL,3199 D ST,M,L,19134,39.997483,-75.121196,1,range_interpolation,3199,D St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
ELKIN SCHOOL,3199 D ST,M,L,19134,39.997483,-75.121196,1,range_interpolation,3199,D St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
ELKIN SCHOOL,3199 D ST,M,L,19134,39.997483,-75.121196,1,range_interpolation,3199,D St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
ELKIN SCHOOL,3199 D ST,M,L,19134,39.997483,-75.121196,1,range_interpolation,3199,D St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
TRINITY MEMORIAL CHURCH,2212 SPRUCE ST,M,N,19103,39.948478,-75.177975,1,range_interpolation,2212,Spruce St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
TRINITY MEMORIAL CHURCH,2212 SPRUCE ST,M,N,19103,39.948478,-75.177975,1,range_interpolation,2212,Spruce St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
TENTH PRESBYTERIAN CHURCH,1701 DELANCEY PL,M,N,19103,39.947259,-75.169946,1,rooftop,1701,Delancey Pl,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
TENTH PRESBYTERIAN CHURCH,1701 DELANCEY PL,M,N,19103,39.947259,-75.169946,1,rooftop,1701,Delancey Pl,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
KIMMEL CENTER,300 S BROAD ST,F,L,19102,39.946656,-75.165776,0.99,rooftop,300-18,S Broad St,,,Philadelphia,PA,Philadelphia County,19102,US,Philadelphia
TENTH PRESBYTERIAN CHURCH,1701 DELANCEY PL,M,N,19103,39.947259,-75.169946,1,rooftop,1701,Delancey Pl,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
HOLY COMMUNION LUTHERAN CHURCH,2111 SANSOM ST,M,N,19103,39.95176,-75.176051,1,range_interpolation,2111,Sansom St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
FIRST PRESBYTERIAN CHURCH,201 S 21ST ST,A,N,19103,39.950919,-75.175737,1,range_interpolation,201,S 21st St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
GREENFIELD SCHOOL,2200 CHESTNUT ST,M,N,19103,39.952167,-75.177678,0.99,rooftop,2200-24,Chestnut St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
FIRST PRESBYTERIAN CHURCH,201 S 21ST ST,A,N,19103,39.950919,-75.175737,1,range_interpolation,201,S 21st St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
TENTH PRESBYTERIAN CHURCH,1701 DELANCEY PL,M,N,19103,39.947259,-75.169946,1,rooftop,1701,Delancey Pl,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
FIRST PRESBYTERIAN CHURCH,201 S 21ST ST,A,N,19103,39.950919,-75.175737,1,range_interpolation,201,S 21st St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
GREENFIELD SCHOOL,2200 CHESTNUT ST,M,N,19103,39.952167,-75.177678,0.99,rooftop,2200-24,Chestnut St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
KIMMEL CENTER,300 S BROAD ST,F,L,19102,39.946656,-75.165776,0.99,rooftop,300-18,S Broad St,,,Philadelphia,PA,Philadelphia County,19102,US,Philadelphia
THE PHOENIX APARTMENTS,1600 ARCH ST,M,L,19103,39.95458,-75.166995,0.99,rooftop,1600-18,Arch St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
WILLIAM PENN HOUSE,1919 CHESTNUT ST,F,L,19103,39.952102,-75.172582,1,range_interpolation,1919,Chestnut St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
ARCH ST PRESBYTERIAN CHURCH,1724 ARCH ST,M,N,19103,39.954852,-75.16912,1,rooftop,1724,Arch St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
ARCH ST PRESBYTERIAN CHURCH,1724 ARCH ST,M,N,19103,39.954852,-75.16912,1,rooftop,1724,Arch St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
FRANKLIN INSTITUTE,222 N 20TH ST,F,L,19103,39.95776,-75.172484,1,range_interpolation,222,N 20th St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
KIMMEL CENTER,300 S BROAD ST,F,L,19102,39.946656,-75.165776,0.99,rooftop,300-18,S Broad St,,,Philadelphia,PA,Philadelphia County,19102,US,Philadelphia
ACADEMY HOUSE CONDOMINIUMS,1420 LOCUST ST,M,L,19102,39.947928,-75.16583,1,rooftop,1420,Locust St,,,Philadelphia,PA,Philadelphia County,19102,US,Philadelphia
PARK TOWNE PLACE SOUTH,2200 BENJAMIN FRANKLIN PKW,F,L,19130,39.961077,-75.175151,1,range_interpolation,2200,Benjamin Franklin Pkwy,,,Philadelphia,PA,Philadelphia County,19130,US,TIGER/Line® dataset from the US Census Bureau
FRANKLIN INSTITUTE,222 N 20TH ST,F,L,19103,39.95776,-75.172484,1,range_interpolation,222,N 20th St,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
CITY VIEW CONDOS,2001 HAMILTON ST,M,L,19130,39.962827,-75.172126,1,rooftop,2001,Hamilton St,,,Philadelphia,PA,Philadelphia County,19130,US,Philadelphia
CHURCH OF LATTER-DAY SAINTS MEETING HOUSE,1682 WOOD ST,F,N,19103,39.959522,-75.166864,0.77,nearest_rooftop_match,1649,Wood St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
BENJAMIN FRANKLIN HIGH SCHOOL,550 N BROAD ST,F,N,19130,39.963023,-75.161435,1,range_interpolation,550,N Broad St,,,Philadelphia,PA,Philadelphia County,19130,US,TIGER/Line® dataset from the US Census Bureau
GREENFIELD SCHOOL,2200 CHESTNUT ST,M,N,19103,39.952167,-75.177678,0.99,rooftop,2200-24,Chestnut St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
MARKWARD RECREATION CENTER,400 S TANEY ST,F,L,19146,39.947556,-75.183958,0.99,rooftop,400-16,S Taney St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
KENNEDY HOUSE APARTMENTS,1901 JOHN F KENNEDY BL,F,L,19103,39.95423,-75.171365,1,range_interpolation,1901,John F Kennedy Blvd,,,Philadelphia,PA,Philadelphia County,19103,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY COLLEGE-WINNET BUILDING,1700 SPRING GARDEN ST,F,H,19130,39.962058,-75.167275,1,rooftop,1700,Spring Garden St,,,Philadelphia,PA,Philadelphia County,19130,US,Philadelphia
DALIAN ON THE PARK,500 N 21ST ST,F,L,19130,39.962548,-75.173191,1,rooftop,500,N 21st St,,,Philadelphia,PA,Philadelphia County,19130,US,Philadelphia
BENJAMIN FRANKLIN HIGH SCHOOL,550 N BROAD ST,F,N,19130,39.963023,-75.161435,1,range_interpolation,550,N Broad St,,,Philadelphia,PA,Philadelphia County,19130,US,TIGER/Line® dataset from the US Census Bureau
GREENFIELD SCHOOL,2200 CHESTNUT ST,M,N,19103,39.952167,-75.177678,0.99,rooftop,2200-24,Chestnut St,,,Philadelphia,PA,Philadelphia County,19103,US,Philadelphia
LAND TITLE BUILDING,100 S BROAD ST,F,N,19110,39.950726,-75.164011,1,range_interpolation,100,S Broad St,,,Philadelphia,PA,Philadelphia County,19110,US,TIGER/Line® dataset from the US Census Bureau
KIMMEL CENTER,300 S BROAD ST,F,L,19102,39.946656,-75.165776,0.99,rooftop,300-18,S Broad St,,,Philadelphia,PA,Philadelphia County,19102,US,Philadelphia
GRACE EPIPHANY CHURCH,224 E GOWEN AVE,M,L,19119,40.065794,-75.189005,1,rooftop,224,E Gowen Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
GRACE EPIPHANY CHURCH,224 E GOWEN AVE,M,L,19119,40.065794,-75.189005,1,rooftop,224,E Gowen Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
GRACE EPIPHANY CHURCH,224 E GOWEN AVE,M,L,19119,40.065794,-75.189005,1,rooftop,224,E Gowen Ave,,,Philadelphia,PA,Philadelphia County,19119,US,Philadelphia
CHESTNUT HILL FRIENDS MEETING,20 E MERMAID LN,F,H,19118,40.068276,-75.195981,1,rooftop,20,E Mermaid Ln,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
CHESTNUT HILL FRIENDS MEETING,20 E MERMAID LN,F,H,19118,40.068276,-75.195981,1,rooftop,20,E Mermaid Ln,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
CHESTNUT HILL LIBRARY,8711 GERMANTOWN AVE,A,L,19118,40.077838,-75.209301,1,rooftop,8711,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
CHESTNUT HILL UNITED CHURCH,8812 GERMANTOWN AVE,F,H,19118,40.078142,-75.211278,1,range_interpolation,8812,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19118,US,TIGER/Line® dataset from the US Census Bureau
CHESTNUT HILL UNITED CHURCH,8812 GERMANTOWN AVE,F,H,19118,40.078142,-75.211278,1,range_interpolation,8812,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19118,US,TIGER/Line® dataset from the US Census Bureau
ST MARTIN IN THE FIELDS CHURCH,8000 ST MARTINS LN,M,L,19118,40.065764,-75.206078,0.9,nearest_rooftop_match,8001,St Martins Ln,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
ST MARTIN IN THE FIELDS CHURCH,8000 ST MARTINS LN,M,L,19118,40.065764,-75.206078,0.9,nearest_rooftop_match,8001,St Martins Ln,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
ST MARTIN IN THE FIELDS CHURCH,8000 ST MARTINS LN,M,L,19118,40.065764,-75.206078,0.9,nearest_rooftop_match,8001,St Martins Ln,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
LUTHERAN THEOLOGICAL SEMINARY,7301 GERMANTOWN AVE,F,H,19119,40.06119,-75.191935,1,range_interpolation,7301,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
ACTION KARATE (MOUNT AIRY),11 W MOUNT AIRY AVE,F,N,19119,40.059919,-75.191094,1,range_interpolation,11,W MT Airy Ave,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
HENRY HOUSTON SCHOOL,7300 RURAL LN,R,N,19119,40.058612,-75.194873,1,range_interpolation,7300,Rural Ln,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
ALLENS LANE ART CENTER,601 W ALLENS LN,F,L,19119,40.052166,-75.201461,1,range_interpolation,601,W Allens Ln,,,Philadelphia,PA,Philadelphia County,19119,US,TIGER/Line® dataset from the US Census Bureau
CHESTNUT HILL APARTMENTS,7800-B STENTON AVE,M,L,19118,40.07231,-75.203371,0.38,place,,,,,Philadelphia,PA,Philadelphia County,19118,US,TIGER/Line® dataset from the US Census Bureau
CHESTNUT HILL FRIENDS MEETING,20 E MERMAID LN,F,H,19118,40.068276,-75.195981,1,rooftop,20,E Mermaid Ln,,,Philadelphia,PA,Philadelphia County,19118,US,Philadelphia
STOREFRONT [7180 OGONTZ AVE],7180 OGONTZ AVE,M,N,19138,40.063938,-75.15349,1,rooftop,7180,Ogontz Ave,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
TOWER OF PENTECOST CHURCH,7485 BRIAR RD,M,L,19138,40.068998,-75.154549,1,range_interpolation,7485,Briar Rd,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
TOWER OF PENTECOST CHURCH,7485 BRIAR RD,M,L,19138,40.068998,-75.154549,1,range_interpolation,7485,Briar Rd,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
CONCERNED BLACK MEN,7200 N 21ST ST,M,N,19138,40.064432,-75.152604,1,rooftop,7200,N 21st St,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
ST ATHANASIUS SCHOOL,7105 LIMEKILN PK,R,L,19138,40.061246,-75.154825,0.9,nearest_rooftop_match,7104,Limekiln Park,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
SIMONS RECREATION CENTER,7200 WOOLSTON AVE,M,H,19138,40.061384,-75.15642,1,range_interpolation,7200,Woolston Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
PILGRIM WESLEYAN CHURCH,6700 N BROAD ST,B,N,19126,40.055386,-75.141639,1,rooftop,6700,N Broad St,,,Philadelphia,PA,Philadelphia County,19126,US,Philadelphia
ROWEN SCHOOL,6841 N 19TH ST,M,L,19126,40.058999,-75.148732,1,range_interpolation,6841,N 19th St,,,Philadelphia,PA,Philadelphia County,19126,US,TIGER/Line® dataset from the US Census Bureau
ROWEN SCHOOL,6841 N 19TH ST,M,L,19126,40.058999,-75.148732,1,range_interpolation,6841,N 19th St,,,Philadelphia,PA,Philadelphia County,19126,US,TIGER/Line® dataset from the US Census Bureau
PILGRIM WESLEYAN CHURCH,6700 N BROAD ST,B,N,19126,40.055386,-75.141639,1,rooftop,6700,N Broad St,,,Philadelphia,PA,Philadelphia County,19126,US,Philadelphia
PILGRIM WESLEYAN CHURCH,6700 N BROAD ST,B,N,19126,40.055386,-75.141639,1,rooftop,6700,N Broad St,,,Philadelphia,PA,Philadelphia County,19126,US,Philadelphia
ROWEN SCHOOL,6841 N 19TH ST,M,L,19126,40.058999,-75.148732,1,range_interpolation,6841,N 19th St,,,Philadelphia,PA,Philadelphia County,19126,US,TIGER/Line® dataset from the US Census Bureau
WEST OAK LANE LIBRARY,2000 WASHINGTON LN,M,L,19138,40.066806,-75.158293,0.9,range_interpolation,2000,E Washington Ln,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
WRIGHTS BARBER SHOP,1901 72ND AVE,R,N,19138,40.064058,-75.147589,1,rooftop,1901,72nd Ave,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
CONCERNED BLACK MEN,7200 N 21ST ST,M,N,19138,40.064432,-75.152604,1,rooftop,7200,N 21st St,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
THE SHOP H & H COMMUNITY CENTER,2036 E HAINES ST,M,L,19138,40.058739,-75.152751,1,range_interpolation,2036,E Haines St,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
ROWEN SCHOOL,6841 N 19TH ST,M,L,19126,40.058999,-75.148732,1,range_interpolation,6841,N 19th St,,,Philadelphia,PA,Philadelphia County,19126,US,TIGER/Line® dataset from the US Census Bureau
SIMONS RECREATION CENTER,7200 WOOLSTON AVE,M,H,19138,40.061384,-75.15642,1,range_interpolation,7200,Woolston Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
SIMONS RECREATION CENTER,7200 WOOLSTON AVE,M,H,19138,40.061384,-75.15642,1,range_interpolation,7200,Woolston Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
BUILDING 21 SCHOOL,6501 LIMEKILN PK,M,N,19138,40.053635,-75.152142,0.99,rooftop,6501-33,Limekiln Park,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
ROWEN SCHOOL,6841 N 19TH ST,M,L,19126,40.058999,-75.148732,1,range_interpolation,6841,N 19th St,,,Philadelphia,PA,Philadelphia County,19126,US,TIGER/Line® dataset from the US Census Bureau
ST ATHANASIUS SCHOOL,7105 LIMEKILN PK,R,L,19138,40.061246,-75.154825,0.9,nearest_rooftop_match,7104,Limekiln Park,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
CONGREGATION TEMPLE BETHEL,7350 LOWBER AVE,F,L,19138,40.062344,-75.161114,0.99,rooftop,7350-80,Lowber Ave,,,Philadelphia,PA,Philadelphia County,19138,US,Philadelphia
SIMONS RECREATION CENTER,7200 WOOLSTON AVE,M,H,19138,40.061384,-75.15642,1,range_interpolation,7200,Woolston Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
SIMONS RECREATION CENTER,7200 WOOLSTON AVE,M,H,19138,40.061384,-75.15642,1,range_interpolation,7200,Woolston Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
STOREFRONT [7163 STENTON AVE],7163 STENTON AVE,M,N,19138,40.058133,-75.162667,1,range_interpolation,7163,Stenton Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
THE SHOP H & H COMMUNITY CENTER,2036 E HAINES ST,M,L,19138,40.058739,-75.152751,1,range_interpolation,2036,E Haines St,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
STOREFRONT [7163 STENTON AVE],7163 STENTON AVE,M,N,19138,40.058133,-75.162667,1,range_interpolation,7163,Stenton Ave,,,Philadelphia,PA,Philadelphia County,19138,US,TIGER/Line® dataset from the US Census Bureau
